BIOME_NAME,District,Is Monitor,Name,State,Year Spp,calculated,nci
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2000,ANDHRA_PRADESH,2020_Cashew,0.1825699015,347.7796326
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3684,ANDHRA_PRADESH,2020_Cashew,0.8929237022,108.177269
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4684,ANDHRA_PRADESH,2020_Cashew,0.7893004709,360.465332
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4685,ANDHRA_PRADESH,2020_Cashew,0.3684556865,290.798645
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5459,ANDHRA_PRADESH,2020_Cashew,0.1703902637,120.4463196
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5729,ANDHRA_PRADESH,2020_Cashew,0.2779410853,105.7796555
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5948,ANDHRA_PRADESH,2020_Cashew,0.04266466727,241.4463196
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4418,ANDHRA_PRADESH,2020_Cashew,0.2070213562,264.2914734
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4870,ANDHRA_PRADESH,2020_Cashew,0.4172541231,116.7796478
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2004,ANDHRA_PRADESH,2020_Cashew,0.1748640409,347.7796326
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4682,ANDHRA_PRADESH,2020_Cashew,0.2120281648,228.465332
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1937,ANDHRA_PRADESH,2020_Cashew,0.2821372495,164.1351776
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3284,ANDHRA_PRADESH,2020_Cashew,0.4373815281,71.51062012
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2331,ANDHRA_PRADESH,2020_Cashew,0.408809001,274.1351929
